href,folder,baseurl,yearmonth
https://globalnightlight.s3.amazonaws.com/201610/201610_catalog.json,201610,https://globalnightlight.s3.amazonaws.com,201610
https://globalnightlight.s3.amazonaws.com/201611/201611_catalog.json,201611,https://globalnightlight.s3.amazonaws.com,201611
https://globalnightlight.s3.amazonaws.com/201612/201612_catalog.json,201612,https://globalnightlight.s3.amazonaws.com,201612
https://globalnightlight.s3.amazonaws.com/201701/201701_catalog.json,201701,https://globalnightlight.s3.amazonaws.com,201701
https://globalnightlight.s3.amazonaws.com/201702/201702_catalog.json,201702,https://globalnightlight.s3.amazonaws.com,201702
https://globalnightlight.s3.amazonaws.com/201703/201703_catalog.json,201703,https://globalnightlight.s3.amazonaws.com,201703
https://globalnightlight.s3.amazonaws.com/201704/201704_catalog.json,201704,https://globalnightlight.s3.amazonaws.com,201704
https://globalnightlight.s3.amazonaws.com/201705/201705_catalog.json,201705,https://globalnightlight.s3.amazonaws.com,201705
https://globalnightlight.s3.amazonaws.com/201706/201706_catalog.json,201706,https://globalnightlight.s3.amazonaws.com,201706
https://globalnightlight.s3.amazonaws.com/201707/201707_catalog.json,201707,https://globalnightlight.s3.amazonaws.com,201707
https://globalnightlight.s3.amazonaws.com/201708/201708_catalog.json,201708,https://globalnightlight.s3.amazonaws.com,201708
https://globalnightlight.s3.amazonaws.com/201709/201709_catalog.json,201709,https://globalnightlight.s3.amazonaws.com,201709
https://globalnightlight.s3.amazonaws.com/201710/201710_catalog.json,201710,https://globalnightlight.s3.amazonaws.com,201710
https://globalnightlight.s3.amazonaws.com/201711/201711_catalog.json,201711,https://globalnightlight.s3.amazonaws.com,201711
https://globalnightlight.s3.amazonaws.com/201712/201712_catalog.json,201712,https://globalnightlight.s3.amazonaws.com,201712
https://globalnightlight.s3.amazonaws.com/npp_201801/npp_201801_catalog.json,npp_201801,https://globalnightlight.s3.amazonaws.com,201801
https://globalnightlight.s3.amazonaws.com/npp_201802/npp_201802_catalog.json,npp_201802,https://globalnightlight.s3.amazonaws.com,201802
https://globalnightlight.s3.amazonaws.com/npp_201803/npp_201803_catalog.json,npp_201803,https://globalnightlight.s3.amazonaws.com,201803
https://globalnightlight.s3.amazonaws.com/npp_201804/npp_201804_catalog.json,npp_201804,https://globalnightlight.s3.amazonaws.com,201804
https://globalnightlight.s3.amazonaws.com/npp_201805/npp_201805_catalog.json,npp_201805,https://globalnightlight.s3.amazonaws.com,201805
https://globalnightlight.s3.amazonaws.com/npp_201806/npp_201806_catalog.json,npp_201806,https://globalnightlight.s3.amazonaws.com,201806
https://globalnightlight.s3.amazonaws.com/npp_201807/npp_201807_catalog.json,npp_201807,https://globalnightlight.s3.amazonaws.com,201807
https://globalnightlight.s3.amazonaws.com/npp_201808/npp_201808_catalog.json,npp_201808,https://globalnightlight.s3.amazonaws.com,201808
https://globalnightlight.s3.amazonaws.com/npp_201809/npp_201809_catalog.json,npp_201809,https://globalnightlight.s3.amazonaws.com,201809
https://globalnightlight.s3.amazonaws.com/npp_201810/npp_201810_catalog.json,npp_201810,https://globalnightlight.s3.amazonaws.com,201810
https://globalnightlight.s3.amazonaws.com/npp_201811/npp_201811_catalog.json,npp_201811,https://globalnightlight.s3.amazonaws.com,201811
https://globalnightlight.s3.amazonaws.com/npp_201812/npp_201812_catalog.json,npp_201812,https://globalnightlight.s3.amazonaws.com,201812
