href,item_href,stem,suffix,base_url,folder,product_id,start_date,first_scantime,end_scantime,orbital_nbr,create_datetime,data_origin,data_domain,vflag_file,vflag_href
./SVDNB_npp_d20180901_t0150356_e0156160_b35464_c20180901055617585367_nobc_ops.rade9.co.json,https://globalnightlight.s3.amazonaws.com/npp_201809/SVDNB_npp_d20180901_t0150356_e0156160_b35464_c20180901055617585367_nobc_ops.rade9.co.json,SVDNB_npp_d20180901_t0150356_e0156160_b35464_c20180901055617585367_nobc_ops,rade9.co.json,https://globalnightlight.s3.amazonaws.com,npp_201809,SVDNB_npp,20180901,0150356,0156160,35464,20180901055617585367,nobc,ops,npp_d20180901_t0150356_e0156160_b35464.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/npp_201809/npp_d20180901_t0150356_e0156160_b35464.vflag.co.tif
./SVDNB_npp_d20180901_t0247300_e0253104_b35465_c20180901065311114960_nobc_ops.rade9.co.json,https://globalnightlight.s3.amazonaws.com/npp_201809/SVDNB_npp_d20180901_t0247300_e0253104_b35465_c20180901065311114960_nobc_ops.rade9.co.json,SVDNB_npp_d20180901_t0247300_e0253104_b35465_c20180901065311114960_nobc_ops,rade9.co.json,https://globalnightlight.s3.amazonaws.com,npp_201809,SVDNB_npp,20180901,0247300,0253104,35465,20180901065311114960,nobc,ops,npp_d20180901_t0247300_e0253104_b35465.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/npp_201809/npp_d20180901_t0247300_e0253104_b35465.vflag.co.tif
./SVDNB_npp_d20180901_t0253117_e0258520_b35465_c20180901065852190377_nobc_ops.rade9.co.json,https://globalnightlight.s3.amazonaws.com/npp_201809/SVDNB_npp_d20180901_t0253117_e0258520_b35465_c20180901065852190377_nobc_ops.rade9.co.json,SVDNB_npp_d20180901_t0253117_e0258520_b35465_c20180901065852190377_nobc_ops,rade9.co.json,https://globalnightlight.s3.amazonaws.com,npp_201809,SVDNB_npp,20180901,0253117,0258520,35465,20180901065852190377,nobc,ops,npp_d20180901_t0253117_e0258520_b35465.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/npp_201809/npp_d20180901_t0253117_e0258520_b35465.vflag.co.tif
./SVDNB_npp_d20180901_t0258533_e0304337_b35465_c20180901070434242570_nobc_ops.rade9.co.json,https://globalnightlight.s3.amazonaws.com/npp_201809/SVDNB_npp_d20180901_t0258533_e0304337_b35465_c20180901070434242570_nobc_ops.rade9.co.json,SVDNB_npp_d20180901_t0258533_e0304337_b35465_c20180901070434242570_nobc_ops,rade9.co.json,https://globalnightlight.s3.amazonaws.com,npp_201809,SVDNB_npp,20180901,0258533,0304337,35465,20180901070434242570,nobc,ops,npp_d20180901_t0258533_e0304337_b35465.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/npp_201809/npp_d20180901_t0258533_e0304337_b35465.vflag.co.tif
./SVDNB_npp_d20180901_t0304349_e0310153_b35465_c20180901071015313373_nobc_ops.rade9.co.json,https://globalnightlight.s3.amazonaws.com/npp_201809/SVDNB_npp_d20180901_t0304349_e0310153_b35465_c20180901071015313373_nobc_ops.rade9.co.json,SVDNB_npp_d20180901_t0304349_e0310153_b35465_c20180901071015313373_nobc_ops,rade9.co.json,https://globalnightlight.s3.amazonaws.com,npp_201809,SVDNB_npp,20180901,0304349,0310153,35465,20180901071015313373,nobc,ops,npp_d20180901_t0304349_e0310153_b35465.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/npp_201809/npp_d20180901_t0304349_e0310153_b35465.vflag.co.tif
./SVDNB_npp_d20180901_t0310165_e0315551_b35465_c20180901071556398966_nobc_ops.rade9.co.json,https://globalnightlight.s3.amazonaws.com/npp_201809/SVDNB_npp_d20180901_t0310165_e0315551_b35465_c20180901071556398966_nobc_ops.rade9.co.json,SVDNB_npp_d20180901_t0310165_e0315551_b35465_c20180901071556398966_nobc_ops,rade9.co.json,https://globalnightlight.s3.amazonaws.com,npp_201809,SVDNB_npp,20180901,0310165,0315551,35465,20180901071556398966,nobc,ops,npp_d20180901_t0310165_e0315551_b35465.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/npp_201809/npp_d20180901_t0310165_e0315551_b35465.vflag.co.tif
./SVDNB_npp_d20180901_t0315564_e0321367_b35465_c20180901072138572174_nobc_ops.rade9.co.json,https://globalnightlight.s3.amazonaws.com/npp_201809/SVDNB_npp_d20180901_t0315564_e0321367_b35465_c20180901072138572174_nobc_ops.rade9.co.json,SVDNB_npp_d20180901_t0315564_e0321367_b35465_c20180901072138572174_nobc_ops,rade9.co.json,https://globalnightlight.s3.amazonaws.com,npp_201809,SVDNB_npp,20180901,0315564,0321367,35465,20180901072138572174,nobc,ops,npp_d20180901_t0315564_e0321367_b35465.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/npp_201809/npp_d20180901_t0315564_e0321367_b35465.vflag.co.tif
./SVDNB_npp_d20180901_t0321380_e0327184_b35465_c20180901072719537325_nobc_ops.rade9.co.json,https://globalnightlight.s3.amazonaws.com/npp_201809/SVDNB_npp_d20180901_t0321380_e0327184_b35465_c20180901072719537325_nobc_ops.rade9.co.json,SVDNB_npp_d20180901_t0321380_e0327184_b35465_c20180901072719537325_nobc_ops,rade9.co.json,https://globalnightlight.s3.amazonaws.com,npp_201809,SVDNB_npp,20180901,0321380,0327184,35465,20180901072719537325,nobc,ops,npp_d20180901_t0321380_e0327184_b35465.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/npp_201809/npp_d20180901_t0321380_e0327184_b35465.vflag.co.tif
./SVDNB_npp_d20180901_t0327196_e0333000_b35465_c20180901073300610549_nobc_ops.rade9.co.json,https://globalnightlight.s3.amazonaws.com/npp_201809/SVDNB_npp_d20180901_t0327196_e0333000_b35465_c20180901073300610549_nobc_ops.rade9.co.json,SVDNB_npp_d20180901_t0327196_e0333000_b35465_c20180901073300610549_nobc_ops,rade9.co.json,https://globalnightlight.s3.amazonaws.com,npp_201809,SVDNB_npp,20180901,0327196,0333000,35465,20180901073300610549,nobc,ops,npp_d20180901_t0327196_e0333000_b35465.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/npp_201809/npp_d20180901_t0327196_e0333000_b35465.vflag.co.tif
./SVDNB_npp_d20180901_t0333012_e0338416_b35465_c20180901073842680830_nobc_ops.rade9.co.json,https://globalnightlight.s3.amazonaws.com/npp_201809/SVDNB_npp_d20180901_t0333012_e0338416_b35465_c20180901073842680830_nobc_ops.rade9.co.json,SVDNB_npp_d20180901_t0333012_e0338416_b35465_c20180901073842680830_nobc_ops,rade9.co.json,https://globalnightlight.s3.amazonaws.com,npp_201809,SVDNB_npp,20180901,0333012,0338416,35465,20180901073842680830,nobc,ops,npp_d20180901_t0333012_e0338416_b35465.vflag.co.tif,https://globalnightlight.s3.amazonaws.com/npp_201809/npp_d20180901_t0333012_e0338416_b35465.vflag.co.tif
